Title,Acronym,Rank
Automated Software Engineering,ASE,A*
Foundations of Software Engineering,FSE,A*
International Conference on Software Engineering,ICSE,A*
International Symposium on Software Reliability Engineering,ISSRE,A
Evaluation and Assessment in Software Engineering,EASE,A
Empirical Software Engineering and Measurement,ESEM,A
Software Analysis Evolution and Reengineering,SANER,A
Software Engineering for Adaptive and Self-Managing Systems,SEAMS,A
Software Engineering: Education and Practice,SEEP,B
Software Technology and Engineering Practice Conference,STEP,B
Requirements Engineering: Foundation for Software Quality,REFSQ,B
Program Analysis for Software Tools and Engineering,PASTE,B
International Symposium on Empirical Software Engineering,ISESE,B
Component-Based Software Engineering,CBSE,B
Software Language Engineering,SLE,B
Software Engineering and Formal Methods,SEFM,B
International Conference on Agile Software Development,XP,B
Evaluation of Novel Approaches to Software Engineering,ENASE,B
International Symposium on Search Based Software Engineering,SSBSE,B
Integration of Software Engineering and Agent Technology,ISEAT,B
Software Engineering and Advanced Applications,SEAA,B
IEEE International Conference on Software Services Engineering,IEEE SSE,B
Fundamental Approaches to Software Engineering,FASE,B
